index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
5,\wallet\src\de\schildbach\wallet\Constants.Files.java,Files,53,13,0,0,0,False,False,1,False,False,0,0,4,2,True,False,True,True,False,public,0,0,0,False,Information Holder
6,\wallet\src\de\schildbach\wallet\Configuration.java,Configuration,233,28,35,4,18,False,False,1,False,False,8,13,13,19,False,False,False,True,False,public,34,1,0,False,Information Holder
7,\wallet\src\de\schildbach\wallet\Constants.java,Constants,136,56,0,0,0,False,False,1,False,False,0,0,14,10,False,False,False,True,False,public,0,0,0,False,Information Holder
8,\wallet\src\de\schildbach\wallet\Logging.java,Logging,78,4,1,0,0,False,False,1,False,False,1,1,10,10,False,False,False,True,False,public,1,0,0,False,Service Provider
9,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,288,9,19,0,2,False,False,2,False,False,12,4,42,55,False,False,False,True,False,public,14,5,0,False,Interfacer
10,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,145,1,6,0,1,False,False,4,True,False,5,23,26,14,False,False,False,True,False,public,3,3,0,False,Interfacer
11,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,125,2,5,0,0,False,False,1,False,False,6,9,1,5,False,False,False,True,False,public,2,3,0,False,Service Provider
12,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,72,3,4,0,0,False,False,2,False,False,0,5,13,2,False,False,False,True,False,public,3,1,0,False,Coordinator
13,\wallet\src\de\schildbach\wallet\util\Bluetooth.java,Bluetooth,94,8,6,0,3,False,False,1,False,False,7,6,7,5,False,False,False,True,False,public,6,0,0,False,Service Provider
14,\wallet\src\de\schildbach\wallet\util\CheatSheet.java,CheatSheet,138,1,5,3,0,False,False,2,False,False,2,8,6,12,False,False,False,True,False,public,4,1,0,False,Service Provider
15,\wallet\src\de\schildbach\wallet\util\CrashReporter.ExceptionHandler.java,ExceptionHandler,47,1,2,0,0,False,False,2,True,False,0,3,5,1,True,False,True,True,False,private,1,1,0,False,Service Provider
