index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract
0,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,true,false,1,true,false,1,6,3,3,true,false,true,true,false,private,2,1,0,false
1,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,148,9,8,0,1,true,false,3,true,false,10,19,7,31,false,false,false,true,false,public,7,1,0,false
2,\wallet\src\de\schildbach\wallet\Constants.java,Constants,104,75,0,0,0,false,false,1,false,false,0,0,6,2,false,false,false,true,false,public,0,0,0,false
3,\wallet\src\de\schildbach\wallet\DetermineFirstSeenThread.java,DetermineFirstSeenThread,100,3,4,0,0,false,false,4,false,false,1,3,14,8,false,false,false,true,false,public,1,2,1,true
4,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,151,6,7,0,2,false,false,3,true,false,9,15,18,13,false,false,false,true,false,public,6,1,0,false
5,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,53,0,4,0,0,false,false,4,true,false,1,5,3,2,true,false,true,true,false,private,4,0,0,false
6,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,60,0,1,0,0,false,false,4,true,false,0,3,16,3,false,false,false,true,false,public,1,0,0,false
7,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,106,2,4,0,0,false,false,1,false,false,4,4,3,7,false,false,false,true,false,public,4,0,0,false
8,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,340,4,16,0,1,false,false,2,false,false,7,3,35,43,false,false,false,true,false,public,8,8,0,false
9,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,74,3,4,0,0,false,false,2,false,false,0,5,10,2,false,false,false,true,false,public,3,1,0,false
10,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,141,9,10,5,1,false,false,3,false,false,3,15,10,4,false,false,false,true,false,public,6,1,3,false
11,\wallet\src\de\schildbach\wallet\util\EncryptionUtils.java,EncryptionUtils,272,11,8,0,1,false,false,2,false,false,3,14,18,6,false,false,false,true,false,public,2,6,0,false
12,\wallet\src\de\schildbach\wallet\util\IOUtils.java,IOUtils,37,0,1,0,0,false,false,3,false,false,0,2,2,0,false,false,false,true,false,public,1,0,0,false
13,\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,Iso8601Format,65,0,8,0,0,false,false,2,false,false,0,4,5,0,false,false,false,true,false,public,8,0,0,false
14,\wallet\src\de\schildbach\wallet\util\ErrorReporter.java,ErrorReporter,305,10,12,0,3,false,false,2,true,false,4,14,29,58,false,false,false,true,false,public,5,7,0,false
15,\wallet\src\de\schildbach\wallet\util\NfcTools.java,NfcTools,108,3,9,0,0,false,false,2,false,false,5,19,10,6,false,false,false,true,false,public,4,5,0,false
16,\wallet\src\de\schildbach\wallet\util\PlatformSupportManager.java,PlatformSupportManager,92,3,2,0,0,false,false,3,true,false,3,2,4,4,false,false,false,true,false,public,1,0,1,true
17,\wallet\src\de\schildbach\wallet\util\StrictModeWrapper.java,StrictModeWrapper,31,0,1,0,0,false,false,3,true,false,0,0,3,1,false,false,false,true,false,public,1,0,0,false
18,\wallet\src\de\schildbach\wallet\util\ViewPagerTabs.java,ViewPagerTabs,165,6,9,0,1,false,false,3,false,false,4,10,14,10,false,false,false,true,false,public,6,0,3,false
19,\wallet\src\de\schildbach\wallet\util\WalletUtils.java,WalletUtils,272,6,13,0,3,false,false,2,false,false,8,28,42,30,false,false,false,true,false,public,13,0,0,false
20,\wallet\src\de\schildbach\wallet\ui\AboutActivity.java,AboutActivity,123,10,3,0,0,false,false,2,false,false,2,4,11,5,false,false,false,true,false,public,2,0,1,false
